MACAddress,phoneDN,modelNumber,versionID,hardwareRevision,serialNumber,DHCPEnabled,DHCPServer,IPAddress,SubNetMask,DefaultRouter,DNSServer1,DNSServer2,DNSServer3,DomainName,AltTFTP,TFTPServer1TFTPServer2,CallManager1,CallManager2,CallManager3,CallManager4,CallManager5VLANId,AdminVLANId,CDPNeighborDeviceId,CDPNeighborIP,CDPNeighborPort,LLDPNeighborDeviceId,LLDPNeighborIP,LLDPNeighborPort,PortSpeed
38ED18FF34E0,1075083321,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19348CL2,Yes,10.30.30.7,10.120.110.193,255.255.255.0,10.120.110.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS01.net.ahs.com,10.119.110.4,GigabitEthernet1/0/3,,,,"Full, 1000"
E0899DFB38A3,1075083207,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19128YXW,Yes,10.230.30.7,10.120.112.127,255.255.255.0,10.120.112.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS03.net.ahs.com,10.119.112.4,GigabitEthernet1/0/29,,,,"Full, 1000"
38ED18FF3722,1075083336,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19348CUK,Yes,10.230.30.7,10.120.112.215,255.255.255.0,10.120.112.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS03.net.ahs.com,10.119.112.4,GigabitEthernet1/0/8,,,,"Full, 1000"
3820564485B8,1075084492,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19378284,Yes,10.30.30.7,10.120.112.211,255.255.255.0,10.120.112.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS03.net.ahs.com,10.119.112.4,GigabitEthernet1/0/6,,,,"Full, 1000"
E0899DFB9530,1075083213,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH191384RU,Yes,10.230.30.7,10.120.110.156,255.255.255.0,10.120.110.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS01.net.ahs.com,10.119.110.4,GigabitEthernet1/0/11,,,,"Full, 1000"
E0899DFB3507,1075083286,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19128YJA,Yes,10.230.30.7,10.120.110.213,255.255.255.0,10.120.110.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS01.net.ahs.com,10.119.110.4,GigabitEthernet1/0/17,,,,"Full, 1000"
382056445A78,1075084498,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1936A2HH,Yes,10.30.30.7,10.120.115.228,255.255.255.0,10.120.115.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS06.net.ahs.com,10.119.115.4,GigabitEthernet1/0/8,,,,"Full, 1000"
9C57AD128B4C,1075085161,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19428MPJ,Yes,10.30.30.7,10.120.115.227,255.255.255.0,10.120.115.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub01.voice.es.svm.com  Active,bbscuccmsub02.voice.es.svm.com  Standby,abscuccmsub03.voice.es.svm.com,,,,SCLAGAHS10601-AS06.net.ahs.com,10.119.115.4,GigabitEthernet1/0/18,,,,"Full, 1000"
38ED18FF340C,1075083279,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19348CGY,Yes,10.230.30.7,10.120.113.87,255.255.255.0,10.120.113.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS04.net.ahs.com,10.119.113.4,GigabitEthernet1/0/42,,,,"Full, 1000"
38205645250C,1075084503,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19379BV3,Yes,10.230.30.7,10.120.116.11,255.255.255.0,10.120.116.1,10.30.30.7,10.230.30.7,,ahs.com,No,,bbscuccmsub03.voice.es.svm.com  Active,bbscuccmsub01.voice.es.svm.com  Standby,abscuccmsub02.voice.es.svm.com,,,,SCLAGAHS10601-AS07.net.ahs.com,10.119.116.4,GigabitEthernet1/0/18,,,,"Full, 1000"
